"Year","1","2","3","4","5","6","7","8","9","10","11","12","13"
2001,102577.498191633,73613.5179754094,17523.3308423608,2811.7358287221,5141.47947037048,420.379818354527,317.891713512283,2.80321806318315,48.7427863021425,1.34749267010907,0,0,0
2002,190919.620938085,144483.882096188,62191.4508472759,16845.4490567657,2273.19861856595,3177.3744293413,180.610433358852,290.512532666004,29.8803531772089,183.965958583489,0.7521806300025,0.165907332978438,0
2003,48800.0838275327,241910.95441706,127914.838571443,39144.9984224934,10035.8066546948,1694.26002848703,1287.48598709457,131.953368340477,383.827531306484,174.598599521624,0.2499557984282,0.568391040539868,0
2004,197063.935267992,42088.2343532339,151440.858193774,58763.4209273261,16798.6407173795,4433.48870488368,287.400427495923,418.796161307849,3.22361739831098,1.416075677763,129.356798311495,0,0.367437838028803
2005,469208.838655029,180524.105267456,23900.8150358012,102897.384718844,29439.6849794483,7067.32767028332,2120.08344415872,6.94159540588602,209.844258388052,0.333109189546122,0.41027382602245,0.0957080403650027,0
2006,30940.0427165907,413943.427563615,109350.698060009,11121.1751681456,44517.8780656182,8259.71078557075,2487.38951805083,712.261706296926,191.042493269273,2.16682971934928,0,0,0
2007,22780.223377534,66897.6055628711,264463.906397753,50898.4198156272,4679.20684809657,14728.2162926113,2391.76424192969,801.391120919567,39.2161654121292,0.448175058654557,0.568255233953078,0.267272398937746,0.112683807265043
2008,44499.7156747611,36473.6830836802,55372.5959363195,142211.540911232,17285.5162359658,2101.68958819791,4899.94741623087,972.143614065448,60.9346378325601,0.311716678083947,0.0980950849087742,0,0
2009,68545.5586899481,33973.4765007105,24840.2265238341,31153.4376004338,60503.5894913167,7168.55688171959,1377.55417866526,1868.12124621489,211.291236110667,67.6753206446075,0.228017104644146,0,0
2010,15912.1628456045,95509.1918891174,14774.702827695,8448.57657979755,16946.3196056314,19175.736484933,1510.15624787428,354.107250812646,557.92723993761,24.2543717570245,90.0418050658193,0,0
2011,24253.5814149988,25751.6627573386,82005.7947050438,6749.681175954,4274.88029961618,10451.7021378124,13843.8757548002,1309.21432399192,172.094644858714,267.68625810247,71.121939771904,0,0.0420484238231953
2012,9960.323743641,23954.3620727154,21179.6735476004,41505.8866453166,2457.94234175683,1546.92859860897,4405.4956632329,4506.88272320449,540.327315924849,176.885877458601,111.121201348061,71.3786720461378,0.0624879304742408
2013,20556.1097910505,16557.6217523162,19944.8014369394,18852.1954349118,29252.2266742589,2499.25715993942,957.712432696125,2882.19115428983,2645.51706791143,369.744745291232,151.215732963111,36.8068885324529,0.186237498743665
2014,14652.4393858493,22728.2121351918,12338.299244617,11927.0981901613,10843.8393952406,11306.4788335784,619.082308163227,401.38684450685,998.84395641749,736.536878467811,175.599489125461,25.2169026164099,42.7302318854633
2015,11476.4844634226,17334.3900217892,26864.7800953376,8655.4357375585,8557.22799427525,7646.59576525447,6210.86450478136,462.771043536531,296.878780373752,765.021760177598,558.003366367342,0.155994488023768,79.0679306330448
2016,82665.9161312418,14238.0033390764,15737.1458878591,16909.4547952632,5170.54723864498,5787.80570900247,3473.25555044182,2620.55726411958,245.627996793587,163.210642502748,418.490133713985,637.710529803118,106.51308378092
2017,35042.0898402171,101646.736074575,11222.992388967,12827.7509365172,15564.2695252316,4560.43916233109,3964.01985847659,1490.85571285766,752.735336986591,179.594693841315,205.856896399675,339.593311096472,67.8846111683352
