"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
2004,35.531604440352,-1,243.614305935497,357.840060413403,254.30630466954,460.993578655985,364.095682625619,495.364128883972,615.180764865492,657.990701268718,700.898350158053,600.281282839549,895.372771841149,967.939974506108,898.731729688975,1040.13740400234,950.347977642291,1058.92480261594,1094.30331304782,1081.23511217714,1274.72351224423,1116.13732142857,1225.16795349176,1116.13732142857,-1
2005,50.4368072499129,75.7503714090949,252.327871054378,362.633205043619,460.433190615357,493.928701144153,543.451705234819,589.042560492214,589.072407259794,707.794476702449,692.271401722129,786.056656770234,859.427704465027,799.19804582323,874.096130793084,909.832643249177,1151.06392330384,943.748051590496,1132.43609250399,1110.50958333333,1029.05324918799,1380.07666666667,1380.07666666667,-1,-1
2006,163.253333333333,163.253333333333,321.844736985189,376.789507119576,450.413803866506,510.614012391462,566.891634473119,552.192968373668,655.897908489028,741.417876385884,680.839711712823,830.847148443685,896.982129802151,706.478344081571,1109.07994752016,1132.30558408298,1450.575,1450.575,-1,1089.96083333333,1089.96083333333,-1,-1,-1,-1
2007,54.0754107965592,117.840147059234,166.632270403681,276.423737941344,315.768077049453,420.066091576117,498.205677400397,473.214938327852,628.508769747927,592.943072490647,678.670509054668,887.370952345372,671.348105156694,888.957408434714,921.712864696244,1143.82460763428,1125.474255397,871.092197403481,977.745709180492,1125.474255397,872.386529462208,1005.75772172066,1217.71589208007,-1,1118.52392156863
2008,44.624,104.920795864014,192.92615302673,359.109512856015,431.397719354738,491.125769288415,513.526180061687,590.228965181294,655.692195991738,649.5138222943,661.852453715383,728.473276043083,722.767682566018,771.567370384724,927.511985781369,1009.80834563733,1077.79711995833,1013.74974566139,1099.78597789398,1114.34818948114,974.27285858535,872.136179775281,1115.57627802449,872.40844982116,-1
2009,29.4302074863311,58.9464157527418,243.883375996424,304.45811807049,377.73269779221,481.204304894462,530.7689090672,553.281531416085,593.31790603795,652.963340182946,710.212832518685,706.063146908252,747.389608231239,810.900761359368,851.821331809876,898.523396264141,973.322128478141,974.976058139153,1306.30875224462,973.792100382952,1107.02,1107.02,-1,-1,-1
2010,43.2112585605343,77.925714539924,212.11425216079,313.45008796483,391.268296137519,485.389785786816,508.576910413433,580.662871470913,602.124112871467,648.485004615226,698.949775029157,733.739054953562,770.884627002856,801.492217964062,877.120998962732,836.213986797938,1072.34595847373,1065.27246693124,970.06137616193,1070.28933274197,1102.2677968884,969.451938022678,1102.2677968884,863.331256683993,-1
2011,78.1925322181257,155.831204910596,213.628762715895,330.650596200707,418.470586595352,494.475524242011,531.580229849664,560.024794481862,607.044615259316,638.690814203939,680.911193507354,712.762226000081,773.659051008701,830.716583680826,821.875088103183,959.708135565129,887.777079380811,870.276803791625,1056.05661370794,1423.47093043576,1179.02445172788,-1,1110.49877890211,860.521193545018,-1
2012,65.4164682000241,92.6675892407292,223.83596751396,217.365506543267,342.143028448857,505.520068696337,564.840528282059,603.189771194739,632.356059979522,712.339362361153,711.674840323027,771.757915876664,786.081234685159,803.630921439126,728.169113428693,857.881458041447,820.727463862278,962.630583048547,1074.10127605761,1106.311532219,1362.23005342523,1106.31152923879,1106.311532219,-1,-1
2013,103.05154291373,151.989256883895,156.345281635769,173.556438790644,273.016568495224,332.930648228395,385.736608560898,474.711392036878,508.787838634172,566.659312464401,565.200894372977,631.489083883967,670.803979627793,685.524495169364,702.345858727456,669.375749220586,968.156545556519,1106.61970148368,752.935289855312,1194.46531315322,-1,853.433521578769,1107.11297142474,-1,-1
2014,58.2147546774998,158.450890923399,196.273074432925,265.477216760779,326.069553100144,408.885878477853,465.862498266354,532.574400148639,633.412188616212,683.920388733403,644.735279221643,740.601854270314,715.214510044824,799.052614815375,762.304503563832,657.053592620759,1096.17890004758,1421.25962142105,1096.18413417603,-1,-1,1096.18413417603,-1,-1,-1
2015,74.0586682576263,209.537566023617,203.487682381701,243.211242475362,314.954067292656,433.127016884695,497.791808966245,542.366698376354,634.645659916426,664.965116521053,726.078760927122,787.21992276048,500.672848674323,844.993998711268,845.154666666667,449.138012555689,845.154666666667,845.154666666667,-1,-1,-1,845.154666666667,-1,-1,-1
2016,-1,175.76,241.1176443769,349.268781542989,369.985509219779,433.040574094903,541.606385766303,566.001279194902,737.9396755883,714.159777768979,727.654962190821,823.202997560066,861.170018800797,915.330855068718,755.419589364568,1103.05893749433,879.333737794818,1366.70987862688,1102.9657134607,1103.05893749433,1368.136,-1,-1,-1,-1
2017,39.6737974683544,68.59,69.0764749219107,372.651332898256,363.618463024594,437.764097852496,565.439321665566,606.664913727866,731.551053441028,713.562079218184,754.116153011379,800.556401894878,854.236511417894,1060.48271947855,912.333733316604,1025.03229282032,1294.10657824847,1123.24533947183,1024.96052623485,1124.219816513,1450.99317540145,1123.35651785714,-1,-1,-1
