"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
2000,1.0334669375679,0,112.126407649526,500.331799902852,650.13874771069,1613.01586897591,3739.13196027235,4477.86859635155,1627.89855533011,1803.02129408429,1130.15966743434,2367.3718981447,1720.27488884514,282.175302030207,33.4996070626654,591.57368072431,0,564.350604060413,282.175302030207,0,0,0,0,0,0
2001,1.15343004935245,13.9758648821202,0,147.716738668056,1884.94976585621,0,4959.90810260763,0,5069.29337688804,4047.89259740054,0,4331.29487781683,0,1827.06402513103,178.274034879985,0,0,0,0,0,0,0,0,0,0
2002,285.810460814516,1328.63502540536,0,0,0,4661.75003580032,0,0,0,4997.60193636812,0,0,4492.40856793937,0,0,0,3884.45849912586,0,0,1034.59737876159,0,0,0,159.421395894226,0
2003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,13.8481258633853,0,396.164381786639,506.41987620809,942.523686326779,2090.5657906478,3553.93660004772,3318.97545049048,1719.54267193962,1719.54267193962,4810.66627669991,0,3037.06660040171,0,1012.35553346724,429.885667984904,3456.42964692336,3521.00927274519,0,75.1158482227539,0,0,0,0,0
2005,0.20950069456623,21.2690801943847,89.3011669898632,782.238633928518,1792.75248856448,1734.02601035128,3059.3138329915,4020.49965633462,3258.42754529056,3532.63329436224,1925.94098246026,2241.91242082024,2533.21322109741,253.324818756054,787.827593168101,1203.27540585969,1145.31992353853,1160.1214250435,1084.74183047362,1170.33021826579,1660.31862647152,304.521684963093,609.043369926187,0,0
2006,0,0,35.5096945363181,210.2447415573,1819.12512240724,2127.17955639535,3476.01016722713,5143.96354100669,2915.69491750242,2912.040369522,1587.02172090648,5536.07894514746,616.270003782653,2508.42445796566,203.793346427738,0,0,0,0,0,620.945186432605,0,0,0,0
2007,10.1492594913691,33.4087557980553,123.53631733171,778.213634737963,1762.85933358996,3095.73547148059,3122.77409630151,3503.35338472293,2858.3264586387,3231.18634827513,2498.73873302186,1241.28184041114,721.65248693876,662.82072553834,537.533758653863,350.762299011431,399.33531941822,364.567469182254,1291.60556989105,399.33531941822,270.967857545868,541.935715091735,576.703565327701,0,221.967073508738
2008,0,35.9514438024881,121.873983826293,921.05083752581,4226.08454519274,3767.67892216543,5518.80924514163,5329.27688532594,4455.35204811261,4608.68794904113,2391.78534541306,2001.01544290143,1152.83614262947,366.511209861218,476.794268311326,567.574544094005,1064.75533602264,1049.83844982666,419.813722907039,272.052901720073,745.77742279106,0,0,520.649532582496,0
2009,0.450656580943079,0,37.5567831293482,285.306450187418,1973.030820519,5875.62776392777,5267.66021983994,7129.54328120685,7919.35438406335,7875.88623798755,6780.11308640013,4456.85555794908,3419.74366810604,2715.87596788074,1462.86246379464,465.442926958131,0,1319.54718700634,0,2859.91815283341,854.104260048213,0,0,0,0
2010,1.19479468274189,17.2662238009236,67.5393775130527,577.771026872173,1082.65186882093,1643.20689959619,3907.76813239412,3703.69720232299,5010.31831158793,5705.81739519408,3651.36636693021,2952.60484457031,2200.01615978108,1899.9561664429,772.345340290988,440.759555311631,0,788.17895041294,353.81616004596,0,0,440.759555311631,0,353.81616004596,0
2011,0,0,0,1.44536078531073,49.5391231470812,144.81112819902,272.62352027335,602.324675667893,381.6951733096,562.409266229659,583.033682395162,298.559831375173,490.069975210656,743.303830348731,447.834502530708,707.682022673267,157.379070279029,356.993613238005,0,0,259.847520142559,0,8.27779745990827,0,0
2012,1.25301166707548,4.5673193420817,47.9293906624872,339.262279774942,1518.64111926231,3540.5649777548,2824.45609101111,4327.01339718798,3412.86641460265,4605.43919743823,3274.07707169798,1960.73054598477,2350.93581733341,1205.29665678355,682.107420191992,2243.28768411977,2419.0487712109,551.745475613952,400.636182367986,400.636182367986,914.92163761501,0,400.636182367986,0,0
2013,14.1723273216084,75.4780129863923,107.698311851663,919.259791633427,1370.67139866085,2403.6713658853,3012.28043596663,2910.56349449917,3985.70825804545,2314.60766980351,2356.84476452375,1915.96104458882,1796.43123003713,2518.92260880681,2261.66963909574,1397.8440626066,275.660159554463,620.444288812027,456.414200308591,553.314491712741,0,164.030088503436,0,0,0
2014,0,0,47.2016359729909,173.28627890652,1230.98407263959,2774.64326736569,7029.14806438691,6121.06157475875,7376.92520988708,8002.94096113921,8906.16350743536,9536.15624207812,4727.86591921447,4214.28300536452,4034.07064772271,1372.75028933239,373.045001637112,888.379858048742,373.045001637112,0,0,373.045001637112,0,0,0
2015,0.691540798119098,128.328589330834,206.594857958257,285.010881846229,1169.50509184987,2798.38914941533,5873.57801155918,6397.51798818815,4436.84809275737,4366.84905591533,5525.59606385616,1590.72862650366,3291.67691451438,2090.99643188736,2581.84654995679,1512.79559537953,1477.27749967054,624.492249317765,184.772656607705,369.545313215411,184.772656607705,312.020186361106,369.545313215411,127.699406348954,0
2016,2.30858888412459,7.0216100244396,303.207958914466,825.331564257689,1396.90371790719,4887.64254522668,6884.61551638917,10074.2427638666,9460.85691376887,8392.20203440375,6352.69432520218,6629.15202188876,4870.46936711226,4323.51389720172,3121.22142407115,3095.61229118222,2289.95361485634,789.146036460497,443.955100627013,1547.80614559111,443.955100627013,0,0,0,0
2017,1.48046261158818,17.3267742498082,166.017630498497,662.368769740205,1454.30672741754,2775.69329965843,4752.19843432304,5377.37170526826,5188.2093372867,5266.4098769068,3863.30981119605,2925.02831714581,2344.57400174914,1548.0603739103,1860.63171311998,2191.38625749267,885.62227407138,319.974719744659,718.410045283075,569.527756213209,163.689050139817,327.378100279634,0,0,0
2018,0.720175422160826,25.698422682895,50.4231033775601,515.996888848357,2583.8495428125,4823.56497916457,5239.44229171563,6775.38751284217,7345.64185610716,7866.67694908434,5811.80114240815,4089.1194156383,2090.02810210624,3558.00920543751,1869.99594455781,1588.43112040465,936.506059407493,311.163295050107,525.555991433401,0,0,0,0,0,0
