"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
2008,17.1553576737461,22.135108452566,42.8920699584841,103.274427127509,150.251621577438,253.670657393724,440.958070179139,731.663115355813,1030.41185557678,1401.01843206301,1552.02230997153,1682.0294436465,1835.33070447602,2258.51688750633,2515.59988565415,2410.0569790819,2764.47670483606,3161.02905318166,2611.29150869904,3370.33068440724,1588.41778450192,-1,-1
2009,-1,19.9487161945908,50.2089716555845,97.5132302196575,144.677052758745,228.457870707894,336.108905378732,604.177402011808,880.030273499287,1264.56308657512,1473.09300145653,2104.72733629325,1916.82891438119,1966.03152690945,2246.14761106651,3525.61715166052,2494.06669560101,3272.03863485005,3234.612526545,2761.53601655854,2887.48786815855,4296.05439140416,-1
2010,28.5154719320285,25.7986548823228,52.3306489441862,94.8356869615121,157.7567950324,333.348017341236,444.23698913434,614.960025213237,645.227818537748,1220.71329906266,1486.73489647122,2102.67033534356,1869.80121511154,2696.86182202108,2899.10760152327,2938.19736548552,2616.77118385113,3095.2597109048,2718.62087171267,2152.11253771614,4716.56234895729,3177.96720127899,-1
2011,18.2715561621263,28.1898105091812,56.0609151438906,92.886922058154,150.458107077289,232.054081411106,363.753450534395,638.940370780657,943.441802287069,1046.05002187647,1536.12604343719,1887.42578617492,2268.25475473194,2320.77322578204,2642.36031051897,2752.05263677026,3991.19136113258,3808.18511844979,3798.40249372555,2997.96637257559,4606.98181280447,6418.49743171295,3547.87367610762
2012,-1,26.1676155684726,55.6547424899013,114.478438874806,160.592449436914,269.253536441638,439.577522095005,600.837069860514,789.650427810064,1269.04858947921,1406.95823118025,1628.92551804226,2374.01230162565,2621.41451016807,2753.22217258899,2388.18238008035,2997.69834435961,3350.36095288431,3896.85043414956,1056.52621551945,3365.18074497511,1394.84790125043,-1
2013,18.0640465714443,26.3235934706998,71.2749731296352,122.675510965067,175.199368325764,294.143172019361,445.503979479171,652.782637798997,1043.55834471069,1301.43425077717,1280.2007691409,1486.06713960808,2274.43489590795,2428.09709141869,2758.80911723184,3008.60810716498,3279.26768564511,4049.08178487942,4066.0018397138,3324.1823625472,4908.054588209,5125.16426602307,3983.7908905211
2014,17.3208967957704,24.3845079871202,59.0152027926595,123.098221380673,229.408042628109,298.522816270754,525.987080859918,808.690235428824,900.409988627861,1205.67242652079,1507.34769064276,1869.85054766643,2403.82282468121,2728.18213589092,2763.75692226355,2885.20030117054,3372.85432719149,3570.45597334321,1792.81833408095,3659.99098138636,6539.11481249546,4709.82439082022,4619.18392523034
2015,16.7244987826938,23.6855766448329,61.1473275746366,123.247447762403,228.698636333505,339.045959702956,463.448191891125,830.079084600542,1174.21711203329,1624.94631736227,1820.91937372597,2127.90453656819,2463.16493704998,3003.90207505002,3285.48685164675,3650.17539500018,4293.16161283314,4491.46495528234,5536.48083416883,4216.79160356183,5463.29797242065,6529.35832007873,-1
2016,17.4239498405249,19.3172189204959,58.8520624442756,103.717541034173,193.184594694916,275.319394890918,445.941461488696,569.506736035244,865.625529152264,1356.59078228849,1710.49497036026,1990.22369661859,2205.51571667222,2574.06168933048,3252.11123263474,3561.88072789894,3367.98211595995,4940.59300272166,4492.54751015101,6449.03403822842,-1,3851.13980592205,3974.81788664664
2017,17.8408598452278,31.4997713959934,51.9312657210927,120.087861235551,238.593639801429,283.155967330215,555.78870984173,807.958821159272,953.163516062244,1451.42870941154,1644.5749000669,2072.07182044849,2410.79031956855,2906.31246993842,3424.83619567498,3205.66835406868,4474.67967604361,4522.96063953392,4840.71506198885,5303.74581993777,5550.03592563356,7653.97822520252,-1
2018,-1,23.5172581970958,59.6275381734503,109.220775892845,214.48929333313,342.677038655467,588.762541378024,840.774427087814,1082.87105465222,1480.44875856265,1696.4915339055,2068.00780210172,2068.66423555905,2187.38144030466,3189.94396837002,3166.43243216342,3228.99308529927,3348.08094466832,5125.66317015729,4212.81683163413,3964.63926879121,-1,7753.3487794565
