"Year","1","2","3","4","5","6","7","8","9","10","11","12","13"
2001,210.377223586627,545.967284945977,1065.13622289059,1499.91261435086,1898.39160496257,2604.62727055628,3485.23224478883,3162.02993859313,4130.65582676478,3888.48113750408,-1,-1,-1
2002,203.502242392385,540.414399348665,978.550489997594,1459.49753818407,2068.60963962596,2490.68430959588,3379.0349823988,3314.79448200912,4151.16163508305,4343.11435561646,4432.20896277937,5230.63000035293,-1
2003,254.056243248211,475.7161765257,972.36348504487,1494.47952918892,2159.55833629017,2239.13101674797,2649.48626467362,5542.63331445605,5621.23167768105,2634.84661767464,5646.26378904552,4377.0310079233,-1
2004,211.574305931981,581.398752848598,866.357587105674,1406.12208036217,1890.85140958074,2745.73236899429,3004.49483351822,3102.16782499747,3861.17417717654,3142.32886373064,3345.74008354703,-1,5205.34733747886
2005,184.665366749181,503.07383515874,945.008636671989,1255.04608577453,1728.36548377249,2339.67098575692,2894.73967130347,3061.22692743965,3310.77635559755,3500.68822669308,4104.90761211181,4168.30381989761,-1
2006,164.562922852556,372.21837021036,834.291398963414,1203.54360796668,1645.77082390741,2030.99841356869,2743.31708205819,3335.64906448885,2886.74713411473,3664.48491741637,-1,-1,-1
2007,188.272632595379,322.688945685468,655.138832544434,1138.61475898429,1580.90359797899,1954.49644149648,2300.80196859861,2331.04369216475,4018.92207964262,3094.27555738703,2091.24370984463,3187.30271890369,5097.46949940516
2008,211.535359262899,426.425448465696,584.129267599925,919.421938413393,1332.54039351109,1885.46418334225,2289.38698738756,2703.78432119022,2113.62112117166,3145.06881643188,3001.14565357737,-1,-1
2009,174.556501713775,474.788754855599,759.583368006047,873.219079452037,1215.61619046756,1604.44842804559,2039.94272127316,2589.39063062285,2722.07287850408,5472.70254693642,4460.1711443565,-1,-1
2010,186.39388020459,437.112347981,890.844005944655,1090.06178629876,1193.29588202193,1570.65014527605,1964.77556360216,2543.63820474142,2556.88621933571,3339.76583885021,3338.60134152182,-1,-1
2011,194.669675811553,475.773493059963,829.268191840718,1350.13549804003,1549.68759898268,1679.08305319273,1945.6374559646,2247.08662514139,2846.59633773095,2379.06449637962,4163.97018611007,-1,2103.41900741041
2012,220.571055263052,509.892497081018,832.849533204194,1218.47140768773,1704.07539914435,2083.831199658,2164.50174128053,2373.35865592145,2320.91805971473,1924.98120143477,3181.82117423271,3199.01783439676,5011.29104548725
2013,228.682225428511,608.742326614443,976.248165071375,1329.91321465057,1794.67471301565,2090.53546504822,2231.83277244865,2951.09760627896,2801.50385428363,2845.08610294783,3431.11705589514,2103.7332181056,3413.66083225797
2014,240.329153623994,602.530408923663,1043.58907685195,1428.59868735893,1807.66263755852,2326.9525265641,2811.0407201701,3318.60674255985,3200.83157604834,3418.57125739224,3584.56497184605,3329.76824347863,4116.14166864392
2015,270.683615199061,641.304767310201,1109.02080016519,1609.69946116982,1981.04282246164,2537.61502180435,2987.44532697109,3561.82607815992,3264.57640209943,4022.64316008441,3432.20405119493,3922.52475321986,4107.19978106733
2016,200.348331045615,680.47217020628,1108.52478029155,1621.43947226894,2086.001188972,2365.86407585759,3084.08416575622,3596.78037903846,3754.31609243117,3379.21442178505,4330.21810621744,3976.78148799196,2681.89493355515
2017,215.653440645614,487.001754862893,1301.04935983307,1700.92842528139,2214.70228970377,2783.01714916696,3193.33193546597,3787.41356742749,3554.96229724902,4158.78470290992,4283.09311554443,4648.52370408209,3374.79284964904
