"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
1992,184.059751528267,284.974250398134,789.288003148366,1180.76138047532,1487.00760324368,1923.24080808483,2310.65365682063,3111.46065733453,3776.43493419835,4579.68237611777,4822.83421806465,5198.54790731432,-1,-1
1993,158.98437754255,349.756151011303,687.8307233082,1317.50075174241,1885.03954143329,2386.75638197404,3052.06372071117,3150.07253558613,3458.79295905649,3739.08263000212,5240.96464441837,5240.96464441837,4608.13802653986,-1
1994,156.303899891426,345.649324803878,650.762584086352,999.856699594925,1662.68902383668,2267.17824900756,2632.12741646228,3180.72207550719,3042.47613789123,3117.93857765721,3523.93751290941,5191.81047967007,4140.08028456083,-1
1995,162.857663057469,339.29532663542,711.456403912979,1072.61985509421,1297.85616603214,2015.11924741034,2823.67837351374,2918.645231621,3578.86073532535,2994.37378699046,3200.68545684251,1622.50038830094,3672.89758058112,-1
1996,162.046948850924,327.549561175505,771.845764617478,1149.09614335937,1534.03703970324,1820.75971841343,2618.1028188562,3463.7777861919,3580.83669851399,3634.16128854657,3715.36166258597,3438.55193505786,3343.48054191995,-1
1997,192.443414451853,314.210474324112,664.900291938443,1096.28989655405,1593.64852309566,1902.01152353183,2283.80410301346,2958.76842671757,3410.32996792079,3310.03155838882,3981.21291612592,2587.90219213853,4072.44934679452,-1
1998,201.376638617725,425.185915415255,689.486523094242,1104.37788140095,1643.96475389853,2198.84300937424,2465.89074416239,2797.51329572274,3232.22051516347,3541.84637056143,3572.63642147575,3486.34118880984,3761.30370288965,3951.80543045588
1999,209.467344981436,588.44732323384,890.031136399601,1091.47833787749,1647.42639375027,2202.42025053439,2641.08203435857,2877.30359040817,3189.82679723059,3576.06012315407,-1,-1,2133.21906257086,-1
2000,229.148252959871,500.309326698656,964.277420558055,1315.75127269071,1466.93221186224,2089.65652580494,2648.33062426871,3296.98226847616,3535.18193400392,3652.42718345403,4055.6513962332,5498.66383625739,-1,1629.86903440448
2001,196.182192196348,529.734387773598,927.895223143392,1439.65779921151,1714.01281543456,1808.41148230175,2219.46233372404,2966.80726823134,3289.84190479517,4629.6823068469,3805.81190991275,-1,-1,-1
2002,302.276473490332,519.456208815913,912.503535057953,1250.80806998543,1726.69465859122,2196.49917391972,2204.31754146111,2870.32968798005,3323.72339989603,4006.40708396791,4460.57370102589,4200.0892434609,5262.52614570064,-1
2003,200.168494907173,529.413598305101,902.686874088679,1272.3692893496,1688.93271998525,2265.04920122802,2720.5438237581,2597.53786327704,2794.87423029308,3265.32432697791,4096.70467468176,5238.63204602584,5243.9172963326,-1
2004,186.069256541795,566.407142904077,988.139660425848,1243.77691089705,1557.46018540582,2028.06189815146,2780.38827303728,3096.2047622283,2917.07461761949,3827.70842825618,3105.333144354,2796.2527455856,-1,5167.77377043344
2005,167.259197705951,330.8959643959,871.13459728227,1248.58367323961,1488.71645021363,1898.2733254476,2284.17739414211,2995.21476470135,3175.60206629821,2772.33065558258,1322.83248816454,4163.14996372918,4109.96142578284,-1
2006,181.145907084231,423.162625668903,724.424857890552,1075.02341628985,1472.14440193033,1741.32554467656,2135.71684544668,2534.3803011182,3157.55329133444,3403.05183315064,3516.22716993446,-1,-1,-1
2007,185.217275932594,514.245538872852,732.259790381501,981.67547578561,1336.6862563807,1825.3667999301,2024.84884411075,2335.10346250346,2522.83528035976,2378.61096026614,3344.84918836774,2300.00804930678,3285.10372888109,5024.44880055816
2008,153.57194342461,422.180407053764,627.720398909756,845.202311719339,1111.66252255346,1558.05797992125,2116.46937719085,2385.22725769868,2765.17751252195,2551.44474138959,2814.3135677897,2714.83545742148,-1,-1
2009,183.980431241339,448.766692164972,832.3286830009,948.184991983456,1114.01164576023,1335.15690186964,1728.91616288202,2341.64447991538,2454.81281684401,3052.7476606589,2904.0139326243,3469.84049296689,-1,-1
2010,202.149284795984,423.417492912037,752.190928033539,1082.38543455819,1279.62262612004,1430.21630930228,1664.80095306023,2161.26360810354,2342.59146131096,2624.89232614622,2616.16766092363,2423.55120727891,-1,-1
2011,186.698281599549,487.188019026315,922.169189686806,1128.72632799015,1458.76625325015,1686.27757963042,1902.32706469859,2070.22750554872,2549.61098948755,2884.12852444207,2728.24791491503,3667.22092497281,-1,2093.73373096098
2012,262.927873624859,625.316814453554,891.390868535658,1195.42773271108,1453.6073324747,1864.0714000435,2109.16739684567,2311.96213296818,2634.57355107964,2713.13820208911,3414.50972818699,2808.06756872028,3347.37441459022,5054.68421924065
2013,198.97886904334,556.984807125997,1040.36586814661,1341.51505460977,1652.67874544086,2006.50054038401,2366.87504532191,2510.50954469947,3045.34479866088,3074.6960932772,2814.62135467773,3593.01898727466,2235.74529440633,3481.19292541238
2014,254.262501341609,546.663190198455,1057.71186662654,1421.75292843268,1762.47326280056,2124.0310084242,2476.93721405686,2604.38814074881,3120.29441950625,3224.61130024811,3426.59982503207,3180.58370174697,2821.51158032675,3770.73020663031
2015,315.462894403135,608.39777290363,1070.11204581594,1474.80881405721,1984.72764369082,2317.69072444495,2789.43479428947,3266.65857492233,3189.61678674584,3846.95521536677,3920.9949494747,3392.17007698956,3889.16573678341,2712.60896251244
2017,264.616145496961,721.694473884658,959.945216534139,1578.22596228247,2023.53956226234,2517.86824337192,2980.77623624659,3476.8000327794,3785.94137622679,3776.13991194041,3939.7567005358,3832.95666356692,4338.94819543169,4121.99671249305
